id,shop_id,author,text,rating,date,source,created_at
1,2,Nguyễn Thị Lan,"Dịch vụ rất tốt, nhân viên nhiệt tình. Giá cả rõ ràng, mua nhẫn cưới ở đây rất hài lòng!",5.0,3 tuần trước,google,2026-03-14 05:14:14
2,2,Trần Văn Nam,"Cửa hàng rộng rãi, có nhiều mẫu đẹp. Nhân viên tư vấn nhiệt tình dù tôi chỉ xem không mua.",5.0,1 tháng trước,google,2026-03-14 05:14:14
3,2,Lê Thị Hoa,"Chất lượng vàng đảm bảo, có phiếu bảo hành rõ ràng.",4.0,2 tháng trước,google,2026-03-14 05:14:14
4,4,Phạm Văn Đức,"Mua vàng miếng SJC chính hãng, có hóa đơn, giá tốt so với thị trường.",5.0,2 tuần trước,google,2026-03-14 05:14:14
5,4,Võ Thị Mai,"Nhân viên chuyên nghiệp, tư vấn kỹ càng. Sẽ quay lại!",5.0,1 tháng trước,google,2026-03-14 05:14:14
6,1,Ngô Văn Bình,"Tiệm uy tín lâu năm, giá tốt, mua bán nhanh chóng.",5.0,1 tuần trước,google,2026-03-14 05:14:14
7,1,Huỳnh Thị Thu,"Quen mua ở đây nhiều năm rồi, chưa bao giờ thất vọng.",5.0,3 tuần trước,google,2026-03-14 05:14:14
8,1,"Cuong Tran
2 bài đánh giá · 1 ảnh






một tuần trước
MỚI
Nhân viên trả lời với khách hàng cộc lốc, thái độ khó chịu.
Lần đầu đi mua vàng ở đây nên tôi không biết không nhận thanh toán bằng tiền mặt. Tôi mong muốn thanh toán một nữa chuyển khoản và một nữa tiền mặt vì không đủ tiền chuyển khoản, nếu không đồng ý thì với một nv bán hàng cũng không thể thiếu ngôn từ để rồi nói với tôi  “ không đủ mai lên mua” với thái độ thiếu tôn trọng khách hàng như vậy…
Lần đầu cũng như lần cuối tôi tới cơ sở 159 Tôn Đức Thắng

Thích

Chia sẻ",một tuần trước,1.0,một tuần trước,google_maps,2026-03-14 07:11:52
9,1,"Kiều Duyên
1 bài đánh giá · 1 ảnh






4 tháng trước
Chi nhánh ở ông ích đường - cẩm lệ dịch vụ chăm sóc khách hàng quá tệ.
Tối 20/10 vừa rồi mình có ghé 2 lần để mua nhẫn.
Lần đầu đến đứng quầy nhẫn 10p. K ai thèm ai tiếp. Sau đó 2 chị nhân viên chỉ lo đứng chụp ảnh chung cho khách nhận nhận quà 20/10. Mình đã hỏi nhân viên có đợi lâu k. Thì bạn bảo từ từ. Mình đợi lâu quá k ai lại thì về đi ăn.
Sau có quay lại. Dù rất ít khách. Nhưng cũng k ai lại tư vấn. Và mình lại đi về.
Quá tệ. Tổng 4 nhân viên. Ai 1 ai được. Mình là khách hàng quen ở chi nhánh âu cơ - hoà khánh.
Xuống cẩm lệ vài lần. Nhưng nhân viên lần nào cũng thờ ơ. K ai lại tiếp. Sẽ k có lần nào đến chi nhánh này nữa

1

Chia sẻ",4 tháng trước,1.0,4 tháng trước,google_maps,2026-03-14 07:11:52
10,1,"Lâm Hoàng
2 bài đánh giá






2 tháng trước
Cty làm ăn không minh bạch, kế toán nói chuyện mất dạy, mở đầu với khách là từ “chị muốn gì”. Kế toán không rỏ ràng. Lên gặp thì bắt khách đợi, đợi và đợi, có 1 mã điện của giao dịch sai mà cứ bắt khách gọi lên ngân hàng mãi, xong kêu khách phải chạy ra ngân hàng hỏi nữa, đủ thứ. Khi lên làm việc với bên kế toán để hỏi về giao dịch, mà giao dịch này làm việc đã 3 ngày rồi mà nghe cuộc gọi từ giao dịch viên của ngân hàng và kế toán nói chuyện với nhau thì nhiều nghi vấn, KT hỏi là chị kiểm tra dùm em số tiền 14.050.000 đã chuyển chưa chị chẳng nói ngày nào h nào, (trong khi cung cấp mã điện cho em vào 2ngày trước, thì chắc chắn mã đó sai rồi mà bắt khách gọi lên ngân hàng hỏi liên tục, không biết trong 2 ngày đó bên kế toán có làm việc với ngân hàng không mà lại cung cấp cho khách mã sai như vậy), mà bên ngân hàng cũng tl được luôn, cũng lạy, trong 1 thời gian biết bao nhiêu là số tiền đó, thì kiếm làm sao đc. Đáng lẻ mình là kế toán thì phải hỏi rỏ ràng giao dịch đó ngày bao nhiêu, mấy giờ vào lúc nào có không chứ tại sao lại hỏi như vậy. Họ cứ tìm, tìm được 1 số tiền như v mà kb phải số tiền đó là tên của em không, nói là giao dịch bị treo, mắc ở ngân hàng trung gian nên làm đề xuất chuyển tiếp.

Thích

Chia sẻ",2 tháng trước,1.0,2 tháng trước,google_maps,2026-03-14 07:11:52
