id,name,address,district,lat,lng,phone,hours,rating,review_count,website,google_maps_url,source,is_verified,created_at
1,Tiệm Vàng Kim Khánh Việt Hùng,"215 Hùng Vương, Phước Ninh, Hải Châu, Đà Nẵng",Hải Châu,16.0544,108.2022,0236 3822 xxx,07:30 - 20:00,3.6,36,,"https://www.google.com/maps/place/V%C3%A0ng+B%E1%BA%A1c+Kim+Kh%C3%A1nh,+Vi%E1%BB%87t+H%C3%B9ng/@16.058259,108.1375568,14z/data=!4m10!1m2!2m1!1zVGnhu4dtIFbDoG5nIEtpbSBLaMOhbmggVmnhu4d0IEjDuW5nIDIxNSBIw7luZyBWxrDGoW5nLCBQaMaw4bubYyBOaW5oLCBI4bqjaSBDaMOidSwgxJDDoCBO4bq1bmcgxJDDoCBO4bq1bmc!3m6!1s0x3142191a1603919b:0x4a382a6d622e39b3!8m2!3d16.058259!4d108.1736057!15sCmtUaeG7h20gVsOgbmcgS2ltIEtow6FuaCBWaeG7h3QgSMO5bmcgMjE1IEjDuW5nIFbGsMahbmcsIFBoxrDhu5tjIE5pbmgsIEjhuqNpIENow6J1LCDEkMOgIE7hurVuZyDEkMOgIE7hurVuZ1pqImh0aeG7h20gdsOgbmcga2ltIGtow6FuaCB2aeG7h3QgaMO5bmcgMjE1IGjDuW5nIHbGsMahbmcgcGjGsOG7m2MgbmluaCBo4bqjaSBjaMOidSDEkcOgIG7hurVuZyDEkcOgIG7hurVuZ5IBB2pld2VsZXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBPUkUxRmVETmhhM2hvWVdwc1VsWkRNVmhWZWtZMllUSndNVkp1WXhBQuABAPoBBAgAEEA!16s%2Fg%2F11h54zwdg_?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",manual,True,2026-03-14 05:14:09
2,PNJ Đà Nẵng - Hùng Vương,"78 Hùng Vương, Hải Châu, Đà Nẵng",Hải Châu,16.0678,108.2109,1800 1626,08:00 - 21:00,4.9,49,https://www.pnj.com.vn,,official,True,2026-03-14 05:14:09
3,PNJ Đà Nẵng - Ông Ích Khiêm,"265 Ông Ích Khiêm, Hải Châu, Đà Nẵng",Hải Châu,16.0521,108.2187,1800 1626,08:00 - 21:00,4.9,49,https://www.pnj.com.vn,"https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Trang+S%E1%BB%A9c+PNJ+72+%C3%94ng+%C3%8Dch+%C4%90%C6%B0%E1%BB%9Dng+%C4%90%C3%A0+N%E1%BA%B5ng/@16.0157074,108.1328899,13z/data=!4m10!1m2!2m1!1zUE5KIMSQw6AgTuG6tW5nIC0gw5RuZyDDjWNoIEtoacOqbSAyNjUgw5RuZyDDjWNoIEtoacOqbSwgSOG6o2kgQ2jDonUsIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5n!3m6!1s0x31421b146eb21d27:0x1300f8e80996900c!8m2!3d16.0157074!4d108.2049877!15sCl1QTkogxJDDoCBO4bq1bmcgLSDDlG5nIMONY2ggS2hpw6ptIDI2NSDDlG5nIMONY2ggS2hpw6ptLCBI4bqjaSBDaMOidSwgxJDDoCBO4bq1bmcgxJDDoCBO4bq1bmdaWyJZcG5qIMSRw6AgbuG6tW5nIMO0bmcgw61jaCBraGnDqm0gMjY1IMO0bmcgw61jaCBraGnDqm0gaOG6o2kgY2jDonUgxJHDoCBu4bq1bmcgxJHDoCBu4bq1bmeSAQ1qZXdlbHJ5X3N0b3Jl4AEA!16s%2Fg%2F11gpnhx832?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",official,True,2026-03-14 05:14:09
4,DOJI Đà Nẵng,"154 Phan Chu Trinh, Hải Châu, Đà Nẵng",Hải Châu,16.0601,108.2144,0236 3580 168,08:00 - 20:30,4.8,48,https://doji.vn,"https://www.google.com/maps/place/Trung+T%C3%A2m+V%C3%A0ng+B%E1%BA%A1c+%C4%90%C3%A1+Qu%C3%BD+DOJI+Smart/@16.0604607,108.2003703,15z/data=!4m10!1m2!2m1!1zRE9KSSDEkMOgIE7hurVuZyAxNTQgUGhhbiBDaHUgVHJpbmgsIEjhuqNpIENow6J1LCDEkMOgIE7hurVuZyDEkMOgIE7hurVuZw!3m6!1s0x3142194944a7b30d:0x308e63f19c8164ce!8m2!3d16.0604607!4d108.2183947!15sCklET0pJIMSQw6AgTuG6tW5nIDE1NCBQaGFuIENodSBUcmluaCwgSOG6o2kgQ2jDonUsIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5nIgOIAQFaSSJHZG9qaSDEkcOgIG7hurVuZyAxNTQgcGhhbiBjaHUgdHJpbmggaOG6o2kgY2jDonUgxJHDoCBu4bq1bmcgxJHDoCBu4bq1bmeSAQ1qZXdlbHJ5X3N0b3JlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0c1MxSkhNV3BOYkdoTFpVaFdSMlZZY0U1amJrMHdaVmRHUW1Sc1JSQULgAQD6AQQIABBH!16s%2Fg%2F11tmzr_s54?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",official,True,2026-03-14 05:14:09
5,SJC Đà Nẵng,"268 Trần Phú, Hải Châu, Đà Nẵng",Hải Châu,16.0632,108.2201,0236 3822 566,"07:30 - 11:30, 13:30 - 17:00",3.4,34,https://sjc.com.vn,"https://www.google.com/maps/place/C%C3%B4ng+ty+TNHH+MTV+V%C3%A0ng+b%E1%BA%A1c+%C4%90%C3%A1+qu%C3%BD+S%C3%A0i+G%C3%B2n+(SJC)+-+cn+Mi%E1%BB%81n+Trung/@16.0601672,108.2051942,16z/data=!4m10!1m2!2m1!1zU0pDIMSQw6AgTuG6tW5nIDI2OCBUcuG6p24gUGjDuiwgSOG6o2kgQ2jDonUsIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5n!3m6!1s0x314219ca0ae5f925:0xe2d91e176f890e5e!8m2!3d16.0601672!4d108.2142064!15sCkVTSkMgxJDDoCBO4bq1bmcgMjY4IFRy4bqnbiBQaMO6LCBI4bqjaSBDaMOidSwgxJDDoCBO4bq1bmcgxJDDoCBO4bq1bmdaRSJDc2pjIMSRw6AgbuG6tW5nIDI2OCB0cuG6p24gcGjDuiBo4bqjaSBjaMOidSDEkcOgIG7hurVuZyDEkcOgIG7hurVuZ5IBDWpld2Vscnlfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXhia3g1ZVhOUlJSQULgAQD6AQQIABAM!16s%2Fg%2F11b67k0kn9?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",official,True,2026-03-14 05:14:09
6,Tiệm Vàng Hoa Kim Thành,"123 Nguyễn Văn Linh, Hải Châu, Đà Nẵng",Hải Châu,16.0589,108.2098,0236 3821 xxx,07:00 - 20:00,3.3,33,,"https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+Hoa+Kim+Th%C3%A0nh/@16.0672396,108.1956113,15z/data=!4m10!1m2!2m1!1zVGnhu4dtIFbDoG5nIEhvYSBLaW0gVGjDoG5oIDEyMyBOZ3V54buFbiBWxINuIExpbmgsIEjhuqNpIENow6J1LCDEkMOgIE7hurVuZyDEkMOgIE7hurVuZw!3m6!1s0x314219156b0dc323:0x85a6021cdc302ac4!8m2!3d16.0672396!4d108.2136357!15sClhUaeG7h20gVsOgbmcgSG9hIEtpbSBUaMOgbmggMTIzIE5ndXnhu4VuIFbEg24gTGluaCwgSOG6o2kgQ2jDonUsIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5nWlgiVnRp4buHbSB2w6BuZyBob2Ega2ltIHRow6BuaCAxMjMgbmd1eeG7hW4gdsSDbiBsaW5oIGjhuqNpIGNow6J1IMSRw6AgbuG6tW5nIMSRw6AgbuG6tW5nkgENamV3ZWxyeV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSYWRIVkxVM0ZuUlJBQuABAPoBBQiOARBG!16s%2Fg%2F11swqx534h?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",manual,True,2026-03-14 05:14:09
7,Tiệm Vàng Phúc Lợi,"56 Lê Lợi, Hải Châu, Đà Nẵng",Hải Châu,16.0612,108.2165,0905 xxx xxx,08:00 - 19:30,3.8,38,https://www.facebook.com/profile.php?id=100063518712798&mibextid=ZbWKwL,"https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+Ph%C3%BAc+Huy/@16.0675891,108.2093263,17z/data=!4m10!1m2!2m1!1zVGnhu4dtIFbDoG5nIFBow7pjIEzhu6NpIDU2IEzDqiBM4bujaSwgSOG6o2kgQ2jDonUsIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5n!3m6!1s0x3142184a7f936b3b:0xfd2f449fe71f98af!8m2!3d16.0675891!4d108.2138324!15sCktUaeG7h20gVsOgbmcgUGjDumMgTOG7o2kgNTYgTMOqIEzhu6NpLCBI4bqjaSBDaMOidSwgxJDDoCBO4bq1bmcgxJDDoCBO4bq1bmdaSyJJdGnhu4dtIHbDoG5nIHBow7pjIGzhu6NpIDU2IGzDqiBs4bujaSBo4bqjaSBjaMOidSDEkcOgIG7hurVuZyDEkcOgIG7hurVuZ5IBDWpld2Vscnlfc3RvcmWaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRHZGxsdFducFRSM0JFVGxkYWNGWXhSWFJoTW1SYVVtMU9VVlF5WXhBQuABAPoBBAglEDo!16s%2Fg%2F1hc18hn88?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",manual,False,2026-03-14 05:14:09
8,Tứ Quý Jewelry,"89 Trần Hưng Đạo, Sơn Trà, Đà Nẵng",Sơn Trà,16.0778,108.2289,0236 3824 xxx,08:00 - 20:00,4.8,48,https://ctj.com.vn/,"https://www.google.com/maps/place/%C4%90%E1%BA%A0I+L%C3%9D+V%C3%80NG+B%E1%BA%A0C+PH%C3%9A+QU%C3%9D+%C4%90%C3%80+N%E1%BA%B4NG+-+V%C3%80NG+B%E1%BA%A0C+C%C3%81T+T%C6%AF%E1%BB%9CNG/@16.0417874,103.5962836,7z/data=!4m10!1m2!2m1!1zVOG7qSBRdcO9IEpld2VscnkgODkgVHLhuqduIEjGsG5nIMSQ4bqhbywgU8ahbiBUcsOgLCDEkMOgIE7hurVuZyDEkMOgIE7hurVuZw!3m6!1s0x314219cdac7a84bf:0xb8126700ed37b767!8m2!3d16.0417874!4d108.2105414!15sCkxU4bupIFF1w70gSmV3ZWxyeSA4OSBUcuG6p24gSMawbmcgxJDhuqFvLCBTxqFuIFRyw6AsIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5nWkwiSnThu6kgcXXDvSBqZXdlbHJ5IDg5IHRy4bqnbiBoxrBuZyDEkeG6oW8gc8ahbiB0csOgIMSRw6AgbuG6tW5nIMSRw6AgbuG6tW5nkgENamV3ZWxyeV9zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNVdjMVJ0Y0ZaT01WWXdUakU1UmxVeVpFOVZiVTVwWkVWbk5VMXVZeEFC4AEA-gEECAAQKA!16s%2Fg%2F11yj8lfj6r?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",manual,True,2026-03-14 05:14:09
9,Tiệm Vàng Minh Hòa,"34 Điện Biên Phủ, Thanh Khê, Đà Nẵng",Thanh Khê,16.0811,108.1978,0236 3823 xxx,07:30 - 20:00,4.7,47,,"https://www.google.com/maps/place/Hi%E1%BB%87u+v%C3%A0ng+L%E1%BB%99c+Qu%C3%BD/@16.0651124,108.1495251,14z/data=!4m10!1m2!2m1!1zVGnhu4dtIFbDoG5nIE1pbmggSMOyYSAzNCDEkGnhu4duIEJpw6puIFBo4bunLCBUaGFuaCBLaMOqLCDEkMOgIE7hurVuZyDEkMOgIE7hurVuZw!3m6!1s0x314219ad6ea7d485:0x5487d81600d9f2b5!8m2!3d16.0651124!4d108.185574!15sClJUaeG7h20gVsOgbmcgTWluaCBIw7JhIDM0IMSQaeG7h24gQmnDqm4gUGjhu6csIFRoYW5oIEtow6osIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5nkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11ng6ryd6b?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",manual,False,2026-03-14 05:14:09
10,Bảo Tín Đà Nẵng,"12 Nguyễn Tất Thành, Thanh Khê, Đà Nẵng",Thanh Khê,16.0834,108.1912,0236 3820 xxx,08:00 - 19:00,4.9,49,https://thuanbaotin.com/,"https://www.google.com/maps/place/M%C3%A1y+In+%C4%90%C3%A0+N%E1%BA%B5ng+-+Thu%E1%BA%ADn+B%E1%BA%A3o+T%C3%ADn/@16.0739097,107.9211509,11z/data=!4m10!1m2!2m1!1zQuG6o28gVMOtbiDEkMOgIE7hurVuZyAxMiBOZ3V54buFbiBU4bqldCBUaMOgbmgsIFRoYW5oIEtow6osIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5n!3m6!1s0x3142196d94d0e35f:0x90bc999e25b983e0!8m2!3d16.0739097!4d108.209542!15sClRC4bqjbyBUw61uIMSQw6AgTuG6tW5nIDEyIE5ndXnhu4VuIFThuqV0IFRow6BuaCwgVGhhbmggS2jDqiwgxJDDoCBO4bq1bmcgxJDDoCBO4bq1bmdaVCJSYuG6o28gdMOtbiDEkcOgIG7hurVuZyAxMiBuZ3V54buFbiB04bqldCB0aMOgbmggdGhhbmgga2jDqiDEkcOgIG7hurVuZyDEkcOgIG7hurVuZ5IBFnByaW50ZXJfcmVwYWlyX3NlcnZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjJkSFZpWnkxblJSQULgAQD6AQQIIRAs!16s%2Fg%2F11w234v061?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",manual,False,2026-03-14 05:14:09
